Date,Open,High,Low,Close,Adj Close,Volume
12/14/10,124.75,125.230003,124.290001,124.669998,100.297371,147249600
12/15/10,124.440002,124.93,123.889999,124.099998,99.838837,160823100
12/16/10,124.18,124.910004,123.75,124.82,100.41806,185035200
12/17/10,124.080002,124.459999,123.82,124.300003,100.525627,141075300
12/20/10,124.639999,124.900002,123.980003,124.599998,100.768242,119085500
12/21/10,124.989998,125.470001,124.870003,125.389999,101.407166,94965500
12/22/10,125.480003,125.82,125.410004,125.779999,101.722519,78878100
12/23/10,125.639999,125.779999,125.290001,125.599998,101.576958,70053700
12/27/10,125.129997,125.769997,125.040001,125.650002,101.617439,58126000
12/28/10,125.900002,125.949997,125.5,125.830002,101.762993,55309100
12/29/10,125.980003,126.199997,125.900002,125.919998,101.83577,58033100
12/30/10,125.800003,126.129997,125.529999,125.720001,101.674011,76616900
12/31/10,125.529999,125.870003,125.330002,125.75,101.698265,91218900
1/3/11,126.709999,127.599998,125.699997,127.050003,102.749664,138725200
1/4/11,127.330002,127.370003,126.190002,126.980003,102.693016,137409700
1/5/11,126.580002,127.720001,126.459999,127.639999,103.226791,133975300
1/6/11,127.690002,127.830002,127.010002,127.389999,103.024628,122519000
1/7/11,127.559998,127.769997,126.150002,127.139999,102.822433,156034600
1/10/11,126.580002,127.160004,126.199997,126.980003,102.693016,122401700
1/11/11,127.440002,127.739998,126.949997,127.43,103.056969,110287000
1/12/11,128.210007,128.720001,127.459999,128.580002,103.987015,107929200
1/13/11,128.630005,128.690002,128.050003,128.369995,103.817162,129048400
1/14/11,128.190002,129.330002,128.100006,129.300003,104.56929,117677900
1/18/11,129.179993,129.639999,129.029999,129.520004,104.747246,114401300
1/19/11,129.410004,129.539993,127.910004,128.25,103.720116,151958400
1/20/11,127.959999,128.399994,127.129997,128.080002,103.582657,175745700
1/21/11,128.880005,129.169998,128.229996,128.369995,103.817162,151462900
1/24/11,128.289993,129.25,128.259995,129.100006,104.407562,113715500
1/25/11,128.759995,129.279999,128.110001,129.169998,104.464149,167552200
1/26/11,129.490005,130.050003,129.229996,129.669998,104.868515,141281500
1/27/11,129.699997,130.210007,129.470001,129.990005,105.127312,123302700
1/28/11,130.139999,130.350006,127.510002,127.720001,103.291489,295637300
1/31/11,128.070007,128.779999,127.75,128.679993,104.067856,149249200
2/1/11,129.460007,130.970001,129.380005,130.740005,105.733864,167194300
2/2/11,130.399994,130.839996,130.330002,130.490005,105.531685,118323600
2/3/11,130.259995,130.979996,129.570007,130.779999,105.76622,145886700
2/4/11,130.830002,131.199997,130.229996,131.149994,106.065437,134634800
2/7/11,131.440002,132.399994,131.429993,131.970001,106.7286,112439100
2/8/11,132.089996,132.639999,131.729996,132.570007,107.21386,99072800
2/9/11,132.210007,132.630005,131.610001,132.270004,106.971252,146436700
2/10/11,131.600006,132.470001,131.300003,132.320007,107.011673,162708500
2/11/11,131.800003,133.279999,131.770004,133.110001,107.650566,137710300
2/14/11,133.029999,133.539993,132.880005,133.429993,107.909348,101690700
2/15/11,133.020004,133.220001,132.320007,133.009995,107.569717,119575400
2/16/11,133.460007,134.009995,133.190002,133.850006,108.249023,130183500
2/17/11,133.460007,134.429993,133.339996,134.25,108.572525,109810500
2/18/11,134.369995,134.690002,134.059998,134.529999,108.799004,130002400
2/22/11,133.119995,134.559998,131.470001,131.830002,106.615379,233116400
2/23/11,131.75,132.070007,130.210007,131.020004,105.960312,227584000
2/24/11,130.880005,131.440002,129.699997,130.929993,105.887543,260431400
2/25/11,131.479996,132.410004,131.399994,132.330002,107.019775,141686900
2/28/11,132.820007,133.320007,132.380005,133.149994,107.682922,141585500
3/1/11,133.570007,133.690002,130.889999,130.929993,105.887543,258565500
3/2/11,130.75,131.820007,130.350006,131.210007,106.113976,200277400
3/3/11,132.399994,133.619995,132.389999,133.470001,107.941696,176480100
3/4/11,133.369995,133.630005,131.600006,132.470001,107.133003,277202300
3/7/11,132.860001,133.160004,130.740005,131.429993,106.291885,216790400
3/8/11,131.639999,133,131.070007,132.580002,107.221916,174615000
3/9/11,132.320007,132.800003,131.600006,132.389999,107.068306,153806000
3/10/11,131,131.179993,129.809998,129.940002,105.086876,301291800
3/11/11,129.520004,131.309998,129.490005,130.839996,105.814758,225621800
3/14/11,129.990005,130.479996,129.059998,130.050003,105.175835,234974100
3/15/11,126.589996,129.330002,126.5,128.559998,103.970818,359585400
3/16/11,128.149994,128.570007,125.279999,126.18,102.046066,468670300
3/17/11,128,128.389999,127.099998,127.849998,103.396622,254303700
3/18/11,128.839996,128.880005,127.510002,127.760002,103.77269,230435400
3/21/11,129.350006,130.009995,129.199997,129.740005,105.380966,153992600
3/22/11,129.720001,129.889999,129.169998,129.289993,105.015427,129538600
